mode,Writes/s,Reads/s
CR-3,0,1267
CR-3,10,1289
CR-3,20,1286
CR-3,30,1284
CR-3,40,1297
CR-3,50,1290
CR-3,60,1282
CR-3,70,1289
CR-3,80,1284
CR-3,90,1285
CR-3,100,1283
CRAQ-3,0,3827
CRAQ-3,10,3765
CRAQ-3,20,3550
CRAQ-3,30,3424
CRAQ-3,40,3300
CRAQ-3,50,3207
CRAQ-3,60,3061
CRAQ-3,70,2881
CRAQ-3,80,2789
CRAQ-3,90,2625
CRAQ-3,100,2452
,,
